SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P09,S21,26840532526,1,마스크 자국만 안타고 눈 이마만 타서 급하게 주문했는데 효과가 좋았으면 합니다,기존 쓰던 제품 다써서 방송하길래 주문 두번 사용했는데 아직 잘모르겠네요,주소 잘못 해서 전집으로 가서 일주일만에 받았습니다,엄마랑 한세트씩 나눠서 써요 배송도 빠르고 바르면 시원한감이 있어서 좋네요,온 가족이 나눠쓰고도 남을 만큼 넉넉한 양에 백탁현상이 없어 좋아요,,,,,
N,P10,S31,26731419526,0,촉촉,인셀덤,저렴하게,있어요,만족,11.04,10.75,10.16,7.7,6.79
N,P10,S31,26731419526,1,정품이 확실하깅 바래요,아이들이 볼부분이 예민에서 사용했는데좁쌀처럼트러블있던게 많이진정됐어요,쓰던거라 얼마남지 않아 착한가격으로 재주문했어요,너무촉촉해요,나무 촉촉하고 좋아요 가성비좋음,,,,,
N,P10,S31,22590590664,0,저렴하게,윤조,만족,촉촉,좋습니다,9.93,8.23,7.56,7.35,5.33
N,P10,S31,22590590664,1,예전부터 쓰던건데 촉촉하니 발림성 좋고 좋습니다,15미리 샘플 먼저 쓰고있어요,어머니 선물드렸는데 너무 좋아하시네요,항상 쓰는거라서 안바르면 이상해요,누구나 좋아하는 윤조에센스죠,,,,,
N,P04,S09,26026238524,0,저렴하게,진정,트러블,메디힐,감사합니다,7.4,4.44,4.15,3.84,3.67
N,P04,S09,26026238524,1,박스채로 잘 보내주셨어요,사용하니깐 확실히 피부 진정에 도움이 됩니다,얼굴에 뾰루지가 자꾸 올라와서 급하게 필요했는데빨리 보내주셔서 감사해용시트도 너무 얇지도 두껍지도 않고앰플양도 너무 넘치치않고 적당해요,가볍고 산뜻한 팩입니다,가격대비좋아요,,,,,
N,P11,S38,21285684073,0,클렌징,오일,순하고,재구매,촉촉,10.74,9.14,8.78,5.1,4.85
N,P11,S38,21285684073,1,좋습니다,만족합니다,3번째 구매에용 세트한번 사면 3개월정도 쓰구요,대만족입니다,아직 이틀밖에 안써봐서 잘 모르겟어요,,,,,
N,P07,S01,7469286149,0,비비,저렴하게,커버력,만족,발림성,7.77,7.19,5.79,5.74,4.67
